user_id,year,month,day,had_drinks,number_of_drinks
2719,2015,5,4,No,0
7090,2015,5,4,No,0
7085,2015,5,4,No,0
7097,2015,5,4,No,0
7102,2015,5,4,No,0
7101,2015,5,4,No,0
3943,2015,5,4,No,0
4531,2015,5,4,Yes,1
1118,2015,5,4,No,0
1695,2015,5,4,No,0
6658,2015,5,4,No,0
5261,2015,5,4,No,0
6299,2015,5,4,No,0
7110,2015,5,4,No,0
2288,2015,5,5,Yes,2
6969,2015,5,5,Yes,1
6641,2015,5,5,No,0
1559,2015,5,5,No,0
7120,2015,5,5,No,0
5126,2015,5,5,No,0
2115,2015,5,5,Yes,1
6967,2015,5,5,No,0
2393,2015,5,5,No,0
3435,2015,5,5,No,0
3343,2015,5,5,No,0
7068,2015,5,5,Yes,5
1876,2015,5,5,No,0
7129,2015,5,5,No,0
7086,2015,5,5,No,0
476,2015,5,5,No,0
1130,2015,5,5,No,0
6847,2015,5,5,Yes,1
3027,2015,5,5,Yes,1
2521,2015,5,5,Yes,1
1285,2015,5,5,No,0
6927,2015,5,5,Yes,2
2537,2015,5,5,No,0
5097,2015,5,5,No,0
1272,2015,5,5,Yes,1
819,2015,5,5,No,0
7003,2015,5,5,No,0
7030,2015,5,5,Yes,1
1549,2015,5,5,No,0
6925,2015,5,5,No,0
5472,2015,5,5,No,0
7097,2015,5,5,No,0
6023,2015,5,5,No,0
1628,2015,5,5,No,0
3744,2015,5,5,No,0
6452,2015,5,5,No,0
3104,2015,5,5,Yes,5
6321,2015,5,5,No,0
2763,2015,5,5,No,0
6948,2015,5,5,No,0
2477,2015,5,5,Yes,1
6560,2015,5,5,Yes,1
4634,2015,5,5,Yes,1
2040,2015,5,5,No,0
4215,2015,5,5,No,0
6656,2015,5,5,No,0
7154,2015,5,5,Yes,1
1061,2015,5,5,No,0
1786,2015,5,5,No,0
5729,2015,5,5,No,0
6437,2015,5,5,Yes,2
6900,2015,5,5,No,0
7160,2015,5,5,No,0
6007,2015,5,5,No,0
3711,2015,5,5,No,0
6579,2015,5,5,No,0
6953,2015,5,5,No,0
7167,2015,5,5,No,0
7167,2015,5,5,No,0
7167,2015,5,5,No,0
1849,2015,5,5,No,0
1849,2015,5,5,No,0
1907,2015,5,5,No,0
7172,2015,5,5,No,0
6735,2015,5,5,No,0
7144,2015,5,5,No,0
7170,2015,5,5,Yes,2
2140,2015,5,5,Yes,2
7055,2015,5,5,No,0
2916,2015,5,5,No,0
6316,2015,5,5,No,0
7101,2015,5,5,No,0
5861,2015,5,5,No,0
7182,2015,5,5,Yes,2
1840,2015,5,5,No,0
6299,2015,5,5,No,0
7000,2015,5,5,No,0
7016,2015,5,5,No,0
1554,2015,5,5,No,0
6273,2015,5,5,Yes,3
3943,2015,5,5,No,0
6641,2015,5,6,No,0
2288,2015,5,6,Yes,2
7120,2015,5,6,No,0
6969,2015,5,6,Yes,2
3804,2015,5,6,Yes,2
6007,2015,5,6,No,0
5481,2015,5,6,No,0
2944,2015,5,6,No,0
7180,2015,5,6,Yes,1
3744,2015,5,6,No,0
7180,2015,5,6,Yes,1
6967,2015,5,6,No,0
2393,2015,5,6,No,0
